Lev Michael
Lorraine Midanik
James Midgley
Edward Miguel
Line Mikkelsen
Raymond Miles
Burkhard Militzer
Pressley Millar
Norman Miller
Stephen G. Miller
William H. Miller
D.A. Miller
Jennifer Miller
Maureen C. Miller
Craig Miller
C. Keith Miller
Nicholas J. Mills
David Milnes
Katharine V. Milton
Meredith Minkler
Andrew Minor
Heinrich Mintrop
Brent D. Mishler
Minoo Moallem
Jack P. Moehle
Mohammad Mofrad
Carl L. Monismith
Antonio Montalban
Paulo J. M. Monteiro
David Montejano
Donald Moore
Don Moore
Joel Moore
C. Bradley Moore
Calvin C. Moore
G. Cristina Mora
Enrico Moretti
Luciano G. Moretto
John Morgan
Nelson Morgan
Patricia Morgan
Craig Moritz
Max Moritz
Davitt Moroney
Calvin Morrill
Stephen Morris
"J.W. Morris, Jr"
H. Frank Morrison
E. C. Morse
Khalid M. Mosalam
Gavriel Moses
Elchanan Mossel
Scott Moura
David Mowery
Forrest Mozer
Holger Mueller
Bharati Mukherjee
Richard S. Muller
Susan J. Muller
Richard A. Muller
"Carlos Muñoz, Jr"
Veronique Munoz-Darde
Hitoshi Murayama
Trevor M. Murphy
Erin Murphy-Graham
Melissa Murray
John Myers
Michael Nachman
Michael Nacht
Ramona Naddaff
Laura Nader
Eric Naiman
Ethan Namvar
Joseph L. Napoli
Ignacio Navarrete
William W. Nazaroff
Jeffrey Neaton
George Necula
Noel Nellis
Kara L. Nelson
Alan H. Nelson
Charlan Jeanne Nemeth
Anne Nesbet
Linda Neuhauser
Daniel M. Neumark
Andrew R. Neureuther
Eric Neuscamman
John S. Newman
John Ngai
Clark Nguyen
Johanna Nichols
Charles S. Nicoll
Rasmus Nielsen
Greg Niemeyer
Hiroshi Nikaido
Ali M. Niknejad
Borivoje Nikolic
Krishna K. Niyogi
Alva Noe
Eva Nogales
Maura Nolan
Deborah Nolan
Daniel Nomura
Yasunori Nomura
Philippe Nonet
Carlos Norena
Richard B. Norgaard
Eric B. Norman
Larry Nucci
Peter Nugent
Amani Nuru-Jeter
G. Ugo Nwokeji
Michael Nylan
David D. O' Grady
Kevin J. O'Brien
James O'Brien
John O'Brien
Geoffrey O'Brien
Grace D O'Connell
Patrick O'Grady
Kevin L. O'Hara
Michael O'Hare
Katherine O'Brien O'Keeffe
Kate O'Neill
Daniel O'Neill
Oliver O'Reilly
Dara O'Rourke
David O'Sullivan
Maurice Obstfeld
Terrance Odean
Arthur E. Ogus
John J. Ohala
Donald R. Olander
William G. Oldham
Ellen Oliensis
Robert M. Oliver
Martha L. Olney
Bruno Olshausen
Martin Olsson
James Olzmann
Michael Omi
Aihwa Ong
Marcus M. Opp
Gabriel Orebi Gann
Deborah Orel-Bixler
Shmuel S. Oren
Joseph Orenstein
Kurt C. Organista
George Oster
Claudia P. Ostertag
Samuel Otter
W. Geoffrey Owen
Emily Ozer
Lior Pachter
Andrew Packard
Richard Packard
Kevin Padian
Nancy S. Padian
Genaro Padilla
Patrick Pagni
Nicholas Paige
Morton D. Paley
Céline Pallud
Christopher Palmer
Stephen Palmer
Stefania Pandolfo
Christos H. Papadimitriou
Panayiotis Papadopoulos
Nikolaos Papazarkadas
Irina Paperno
Vasudha Paramasivan
Zachary Pardos
Christine Parlour
Loren Partridge
Panos N. Patatoukas
Nipam Patel
David A. Patterson
James L. Patton
Markus Pauly
Vern Paxson
P. David Pearson
Nancy Lee Peluso
T.J. Pempel
J. Theodore Peña
Kaiping Peng
Edward Penhoet
Laura Perez
Saul Perlmutter
Jeffrey M. Perloff
Daniel H. Perlstein
Per-Olof Persson
Kristin Persson
Juan M. Pestana
Trond Petersen
Mark Peterson
Per F. Peterson
Andrea L. Peterson
Norman E. Phillips
Beth Piatote
Alexander Pines
Diego Pirillo
Jaleh Pirnazar
Karl S. Pister
Kristofer Pister
James Pitman
Elijah Polak
Michael Pollan
Kenneth A. Polse
John Polt
Mu-Ming Poo
Kameshwar Poolla
Carolyn Porter
Benjamin Porter
James Porter
Daniel Portnoy
Alison Post
Jack M. Potter
Malcolm Potts
Matthew Potts
Robert Powell
James L. Powell
john powell
Graham H. Powell
Thomas M. (Zack) Powell
Jerry A. Powell
Mary E. Power
Alexey Pozdnukhov
Jo-Ellen Pozner
Ndola Prata
John M. Prausnitz
Gautam Premnath
Robert M. Price   
Buford Price
William Prinzmetal
Jean-Pierre Protzen
Lisa A. Pruitt
Kent Puckett
Charles C. Pugh
Elizabeth Purdom
Roger Purves
David Pyle
Zi Qiang Qiu
Peter Quail
Eliot Quataert
Jan M. Rabaey
Eran Rabani
José Rabasa
Sophia Rabe-Hesketh
Paul Rabinow
Clayton J. Radke
John D. Radke
Ronald Rael
David Ragland
Leigh Raiford
Surjeet Rajendran
Eric P. Rakowski
Harsha Ram
Kannan Ramchandran
R. Ramesh
Julio Ramos
Michael Ranney
Satish Rao
Michael Rape
Steven Raphael
Kristiana Raube
Irmengard Rauch
David H. Raulet
Gordon Rausser
Isha Ray
Raka Ray
Sugata Ray
Kenneth N. Raymond
James W. Rector
Carol Redmount
Terry Regier
Michael Reich
Robert B. Reich
Carolina Reid
Jeffrey A. Reimer
Arthur Reingold
Paul Renne
Vincent H. Resh
Nicolai Reshetikhin
Fraydoun Rezakhanlou
Robert Rhew
Richard A. Rhodes
John L. Rhodes
Kenneth A. Ribet
John Rice
Mark Richards
Paul L. Richards
Hugh Richmond
Marc A. Rieffel
Jeffrey Riegel
Michael Riemer
Rhonda Righter
Lee Riley
Donald Riley
Jasper Rine
Donald Rio
Robert Ritchie
Karlene Roberts
John Roberts
Lynn C. Robertson
Ellen Robey
James Robinson
Francesca Rochberg
George Roderick
Hector Rodriguez
Juana María Rodríguez
Andres Rodriguez-Clare
Henk Roelink
Daniel Rokhsar
Gérard Roland
Barbara Romanowicz
Christina Romer
David Romer
David Romps
Austin John Roorda
Eleanor Rosch
Andrew Rose
Christine Rosen
Kenneth Rosen
Erica Bree Rosenblum
Arthur Rosenfeld
Caitlin Rosenthal
Sheldon M. Ross
Thomas Rothenberg
Jesse Rothstein
Lawrence A. Rowe
Michael Rubenstein
Gerald Rubin
Harry Rubin
Yoram Rubin
Daniel L. Rubinfeld
Boris Rubinsky
Mark Rubinstein
Linda Haverty Rugg
Thomas G. Rundall
William M. Runyan
Stuart J. Russell
Kathleen Ryan
Zak Sabry
Rainer Sachs
Jerome L. Sackman
Elisabeth Sadoulet
Bernard Sadoulet
Emmanuel Saez
Anant Sahai
Peter Sahlins
Dylan Paul Sailor
Stanley Saitowitz
James Sallee
Miquel Salmeron
Leslie Salzinger
Pamela Samuelson
Martin Sanchez-Jankowski
Mark Sandberg
Karin Sanders
Seth R. Sanders
Alberto Sangiovanni-Vincentelli
Debarati Sanyal
Alex Saragoza
Donald E. Sarason
Daniel Sargent
Richmond Sarpong
Miryam Sas
S. Shankar Sastry
William Satariano
Scott Saul
Alexandra  Saum-Pascual
David Savage
Omer Savas
Robert F. Sawyer
Geoffrey B. Saxe
AnnaLee Saxenian
Richard J. Saykally
Nathan Sayre
Thomas Scanlon
Howard Schachman
David V. Schaffer
Walter Schamschula
Andrew Scharlach
Richard M. Scheffler
Harry N. Scheiber
Randy Schekman
Henrik Scheller
Nancy Scheper-Hughes
Stefano Schiavon
Eric Schickler
Rudolf Schmid
Alan H. Schoenfeld
Clifton M. Schor
Lee W. Schruben
Martin Schwartz
Charles Schwartz
Paul Schwartz
Steven E. Schwarz
Susan Schweik
Janelle Scott
Kristin Scott
John Searle
David L. Sedlak
Hinrich C. Seeba
Raymond B. Seed
Steven P. Segal
Jeff Selbin
Steve Selvin
Elisabeth Semel
Koushik Sen
Raja Sengupta
George Sensabaugh
Carlo Sequin
Vera Serganova
C. Namwali Serpell
Sanjit Seshia
James A. Sethian
James Seward
Bill Sha
Steven Shackley
Juliet Shaffer
Ethan Shagan
Susan Shaheen
Harley Shaiken
Barry Shane
Charles V. Shank
Andrew Shanken
"Merrill, J. Shanks"
Thomas Shannon
Christina Shannon
J George Shanthikumar
Michael Shapira
Carl Shapiro
Marjorie Shapiro
Barbara Shapiro
Martin M. Shapiro
Valerie Shapiro
Robert Sharf
Nilabh Shastri
Jonathan Sheehan
Kim Shelton
Max Zuo-Jun Shen
Hsieh Wen Shen
Scott Shenker
Katherine D. Sherwood
Jonathan Shewchuk
Arthur Shimamura
Andrew Shogan
Kevan Shokat
Stephen Shortell
Howard Shugart
Marjorie Shultz
Muhammad Siddiq
Irfan Siddiqi
Ikhlaq Sidhu
James Siegrist
Michael Silver
Whendee Silver
Kaja Silverman
Ellen Simms
Jonathan Simon
Leo K. Simon
Alistair Sinclair
Isadore M. Singer
Nicholas Sitar
Kimmen Sjolander
Alex Skabardonis
Jennifer Skeem
Jeffrey Skoller
Theodore A. Slaman
Candace Slater
Montgomery Slatkin
Rachel Slaybaugh
Yuri Slezkine
Doris Sloan
Thomas Sloane
Dan I. Slobin
Hans Sluga
Allan Sly
Stephen Smale
Stephen Small
Mary Ann Smart
Neil Smelser
Alan Jay Smith
Allan Smith
Kirk R. Smith
Martyn Smith
Sandra Susan Smith
Ann Smock
George F. Smoot
Johan Snapper
Lonnie Snowden
Katherine Snyder
Rodney J. Sobey
Lydia Sohn
Karen Sokal-Gutierrez
Shauna Somerville
Chris Somerville
Friedrich Sommer
Gabor A. Somorjai
Yun S. Song
Dawn Song
Sarah Song
Wayne P. Sousa
Michael Southworth
Barbara Spackman
Costas J. Spanos
Robert Spear
Chelsea Specht
Terry Speed
Pablo Spiller
Garrison Sposito
Sameer Srivastava
Mark Stacey
Carol B. Stack
Angelica Stacy
Andreas Stahl
Dan Stamper-Kurn
Richard Stanton
Philip B. Stark
George Starr
Brian J. Staskawicz
Barry Staw
John Steel
David J. Steigmann
Alan Steinbach
Herbert Steiner
Kyle Steinfeld
Richard Stephens
Scott L. Stephens
David Stern
Laura Sterponi
Andrew F. Stewart
Jonathon H. Stillman
Shannon C. Stimson
Ion Stoica
Vladimir Stojanovic
Laura Stoker
Susan Irene Stone
Charles Stone
Susan Stone
Jill L. Stoner
Eric Stover
Philipp Strack
John Strain
George Strauss
Herbert L. Strauss
Ronald S. Stroud
Barry Stroud
Mark Strovink
Bernd Sturmfels
Xuanming Su
Vivek Subramanian
Stephen D. Sugarman
Hei Sook Sul
Nike Sun
David Sunding
Z. Renee Sung
Jun Sunseri
Yuri Suzuki
Mahiko Suzuki
Nicholas Swanson-Hysell
Eve E. Sweetser
Ann Swidler
Eleanor Swift
Stephanie Syjuco
S. Leonard Syme
Andrew Szeri
Nicolas Tackett
Steven Tadelis
Michi Taga
Ira Tager
Eric Talley
Elisa Tamarkin
Chenxi Tang
Mark Tanouye
Alan Tansman
Estelle Tarica
Richard Taruskin
Sarah Tasker
Daniel Tataru
John W. Taylor
Robert L. Taylor
Ula Y. Taylor
Margaret Taylor
Terry Taylor
Hayden Taylor
David Teece
Peter Teichner
Constantin Teleman
Elaine Tennant
Norman Terry
Frederic Theunissen
D. Paul Thomas
Jerome F. Thomas
Aram Thomasian
Charis Thompson
Sally E. Thompson
Emily V. Thornbury
Barrie Thorne
Jeremy Thorner
T. Don Tilley
Alan Timberlake
"Ignacio Tinoco, Jr."
Matthew Tirrell
Sylvia Tiwon
Robert Tjian
Soraya Tlatli
Masayoshi Tomizuka
Claire Tomlin
Iris D. Tommelein
Benson H. Tongue
F. Dean Toste
Kenneth E. Train
Marc Treib
Lisa Trever
J. Miguel Villas-Boas
Ashvin Vishwanath
Fernando E. Viteri
Steven Vogel
John Vogel
David J. Vogel
Dan-Virgil Voiculescu
Paul A. Vojta
Loy Volkman
Peter C. Vollhardt
Sophie Volpp
Leti Volpp
Alexander von Rospatt
Kim Voss
Jasmina L. Vujic
Chris D. Vulpe
Kenneth Wachter
Loïc Wacquant
Paul Waddell
Bonnie Wade
Bryan Wagner
David Wagner
John B. Wagoner
Martin J. Wainwright
Marvalee H. Wake
David Wake
Johan Walden
Edward W. Walker
Richard A. Walker
Matthew Walker
Nancy Wallace
R. Jay Wallace
Laura Waller
Jonathan Wallis
Jean Walrand
Julia A. Walsh
Christopher Walters
Jen-Chywan (Wally) Wang
Feng Wang
Ian Wang
William Shi-Yuan Wang
Chi-Yuen Wang
Daniel Warren
Edward Wasserman
John Watson
Michael J. Watts
John Wawrzynek
Eicke R. Weber
Steven Weber
William C. Webster
Rhona S. Weinstein
Alan D. Weinstein
Margaret Weir
David Weisblat
Charles D. Weisselberg
William J. Welch
Matthew Welch
Jonas Wellendorf
David E. Wemmer
Hans-Rudolf Wenk
Frank Werblin
Gerald Westheimer
Donald P. Weston
K. Birgitta Whaley
Kristen Whissel
Martin White
Tim D. White
David Whitney
Eyvind Wichmann
Linda Wilbrecht
James A. Wilcox
Christine Wildsoet
Robert Wilensky
Jon Wilkening
Laurie Wilkie
Kipling Will
Lauren Williams
Evan R. Williams
Caroline Williams
Linda Williams
Oliver E. Williamson
John Wilmoth
Edward L. Wilson
Mark Wilson
Fred Wilt
David Winickoff
Astar Winoto
Michael Wintroub
Jason Wittenberg
Mariusz Wodzicki
Jennifer Wolch
Joseph Wolf
Ronald W. Wolff
Catherine Wolfram
Sau-ling C. Wong
Hertha Sweet Wong
Eugene Wong
David L. Wood
W. Hugh Woodin
Glenn A. Woroch
Frank C Worrell
Brian Wright
David H. Wright
Paul Wright
Felix F. Wu
Hung-Hsi Wu
Ming Wu
Junqiao Wu
Jonathan Wurtele
Lisa  Wymore
Fei Xu
Ke Xu
Ting Xu
Eli Yablonovitch
Seth Yalcin
Kazuo Yamazaki
Peidong Yang
Candace Yano
Jie Yao
Michael Yartsev
Wen-hsin Yeh
Katherine A. Yelick
Ronald W. Yeung
Ahmet Yildiz
Yu-Wen Ying
John Choon Yoo
Rob York
Nir Yosef
Bin Yu
Xinyi Yuan
Alexei Yurchak
Lotfi A. Zadeh
Avideh Zakhor
Patricia Zambryski
Emily Zazulia
Sheldon Zedeck
Chris Zepeda-Millan
Alex Zettl
Xiao-Jun Zhang
Xiang Zhang
Wenjun Zhang
Dora Zhang
Qing Zhou
Qiang Zhou
J. Nicholas Ziegler
David Zilberman
Karl Zimmer
Franklin E. Zimring
Peter Zinoman
Tarek Zohdi
Irving Zucker
Robert S. Zucker
David Zusman
Maciej Zworski
John Zysman
